0,1,2,3,4,5,6,7,8,9,10
bottled water,other vegetables,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
tropical fruit,flour,,,,,,,,,
citrus fruit,sausage,bottled beer,herbs,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
newspapers,soda,,,,,,,,,
pip fruit,pastry,,,,,,,,,
chicken,whole milk,,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
other vegetables,soda,soda,napkins,,,,,,,
root vegetables,soda,other vegetables,,,,,,,,
pork,liver loaf,canned beer,whole milk,,,,,,,
ham,other vegetables,,,,,,,,,
brown bread,bottled water,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
pork,brown bread,,,,,,,,,
herbs,rolls/buns,,,,,,,,,
canned beer,yogurt,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
sliced cheese,soda,,,,,,,,,
vinegar,newspapers,brown bread,,,,,,,,
other vegetables,soda,rolls/buns,,,,,,,,
yogurt,root vegetables,candles,,,,,,,,
butter milk,packaged fruit/vegetables,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
whole milk,margarine,canned vegetables,,,,,,,,
butter,rolls/buns,,,,,,,,,
bottled water,misc. beverages,fruit/vegetable juice,,,,,,,,
chocolate,domestic eggs,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
chewing gum,citrus fruit,,,,,,,,,
white wine,curd,,,,,,,,,
white bread,tropical fruit,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
frozen meals,pickled vegetables,,,,,,,,,
pet care,pork,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
chicken,coffee,,,,,,,,,
ham,brown bread,,,,,,,,,
hygiene articles,shopping bags,,,,,,,,,
sliced cheese,newspapers,dog food,fruit/vegetable juice,rolls/buns,butter,hygiene articles,yogurt,,,
pork,whole milk,,,,,,,,,
soda,UHT-milk,,,,,,,,,
whole milk,curd,hygiene articles,,,,,,,,
bottled water,coffee,,,,,,,,,
bottled beer,newspapers,,,,,,,,,
whole milk,other vegetables,ice cream,,,,,,,,
citrus fruit,canned beer,flour,,,,,,,,
butter,whole milk,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
yogurt,salty snack,,,,,,,,,
white wine,pastry,hard cheese,coffee,hygiene articles,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
root vegetables,specialty bar,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,beef,,,,,,,,,
soda,mustard,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
flour,brown bread,,,,,,,,,
pip fruit,chewing gum,,,,,,,,,
meat,rolls/buns,soda,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
sausage,house keeping products,,,,,,,,,
white wine,bottled water,,,,,,,,,
beef,frozen meals,white bread,,,,,,,,
sugar,other vegetables,,,,,,,,,
beef,herbs,,,,,,,,,
sausage,root vegetables,brown bread,,,,,,,,
soda,sliced cheese,,,,,,,,,
pork,pip fruit,yogurt,salty snack,,,,,,,
pork,rolls/buns,,,,,,,,,
pork,root vegetables,,,,,,,,,
onions,canned fish,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
finished products,flower (seeds),,,,,,,,,
fish,tropical fruit,red/blush wine,cream cheese ,,,,,,,
whole milk,yogurt,,,,,,,,,
shopping bags,other vegetables,coffee,,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pastry,condensed milk,rice,tropical fruit,chocolate marshmallow,,,,,,
tropical fruit,bottled water,,,,,,,,,
canned beer,soda,,,,,,,,,
pip fruit,specialty fat,,,,,,,,,
beef,chicken,butter milk,canned beer,processed cheese,shopping bags,,,,,
pastry,yogurt,bottled water,soda,,,,,,,
rolls/buns,napkins,ice cream,nut snack,,,,,,,
canned beer,rolls/buns,whole milk,grapes,,,,,,,
soda,specialty cheese,napkins,,,,,,,,
whole milk,sugar,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
berries,rolls/buns,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
soda,root vegetables,fruit/vegetable juice,,,,,,,,
canned vegetables,root vegetables,cake bar,,,,,,,,
bottled water,frozen meals,,,,,,,,,
bottled beer,tropical fruit,,,,,,,,,
citrus fruit,frankfurter,yogurt,ice cream,,,,,,,
sauces,frozen vegetables,,,,,,,,,
yogurt,pip fruit,misc. beverages,,,,,,,,
canned beer,napkins,sparkling wine,,,,,,,,
newspapers,frozen vegetables,long life bakery product,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
citrus fruit,pip fruit,beverages,,,,,,,,
sausage,dessert,,,,,,,,,
sausage,root vegetables,,,,,,,,,
kitchen utensil,bottled water,rolls/buns,pasta,bottled water,,,,,,
sausage,detergent,bottled beer,,,,,,,,
sausage,pastry,coffee,,,,,,,,
rolls/buns,napkins,newspapers,,,,,,,,
grapes,onions,,,,,,,,,
newspapers,salty snack,,,,,,,,,
other vegetables,butter milk,long life bakery product,,,,,,,,
grapes,pip fruit,photo/film,root vegetables,cling film/bags,,,,,,
newspapers,bottled beer,,,,,,,,,
bottled beer,soups,detergent,,,,,,,,
canned beer,rolls/buns,softener,,,,,,,,
other vegetables,pip fruit,domestic eggs,,,,,,,,
brown bread,yogurt,,,,,,,,,
pip fruit,sliced cheese,fruit/vegetable juice,,,,,,,,
cleaner,other vegetables,,,,,,,,,
sausage,root vegetables,,,,,,,,,
whole milk,seasonal products,,,,,,,,,
canned beer,soda,,,,,,,,,
chicken,beef,pork,beef,newspapers,dessert,margarine,brown bread,newspapers,,
sausage,berries,,,,,,,,,
yogurt,pot plants,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
light bulbs,whole milk,,,,,,,,,
rolls/buns,berries,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
soda,other vegetables,,,,,,,,,
ham,rolls/buns,,,,,,,,,
sausage,root vegetables,,,,,,,,,
yogurt,citrus fruit,pastry,,,,,,,,
soda,root vegetables,,,,,,,,,
turkey,semi-finished bread,,,,,,,,,
root vegetables,sausage,root vegetables,other vegetables,long life bakery product,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
root vegetables,berries,,,,,,,,,
other vegetables,pork,,,,,,,,,
whipped/sour cream,other vegetables,honey,,,,,,,,
pot plants,herbs,,,,,,,,,
red/blush wine,bottled water,,,,,,,,,
tropical fruit,tropical fruit,dessert,sweet spreads,,,,,,,
canned beer,other vegetables,yogurt,,,,,,,,
frankfurter,curd,,,,,,,,,
sliced cheese,rolls/buns,,,,,,,,,
dishes,other vegetables,pastry,,,,,,,,
bottled water,bottled beer,,,,,,,,,
shopping bags,frozen meals,,,,,,,,,
dessert,spread cheese,,,,,,,,,
pastry,whole milk,,,,,,,,,
other vegetables,other vegetables,liquor (appetizer),specialty bar,candles,red/blush wine,,,,,
specialty cheese,brown bread,,,,,,,,,
frankfurter,sausage,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
hamburger meat,citrus fruit,whole milk,specialty bar,,,,,,,
rolls/buns,bottled beer,coffee,pastry,brown bread,brown bread,napkins,napkins,,,
canned beer,brandy,waffles,cat food,dishes,light bulbs,,,,,
rolls/buns,rolls/buns,,,,,,,,,
napkins,cocoa drinks,shopping bags,,,,,,,,
salty snack,pip fruit,photo/film,domestic eggs,rolls/buns,,,,,,
canned beer,root vegetables,soda,,,,,,,,
whole milk,butter,domestic eggs,,,,,,,,
ice cream,shopping bags,soda,,,,,,,,
frozen dessert,yogurt,,,,,,,,,
pickled vegetables,flour,,,,,,,,,
root vegetables,curd,,,,,,,,,
ham,waffles,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
soda,shopping bags,,,,,,,,,
misc. beverages,sausage,root vegetables,liquor (appetizer),coffee,,,,,,
soda,canned beer,citrus fruit,frozen meals,,,,,,,
UHT-milk,flour,,,,,,,,,
hamburger meat,whole milk,root vegetables,hygiene articles,hygiene articles,brown bread,,,,,
domestic eggs,dessert,,,,,,,,,
pasta,rolls/buns,margarine,canned fish,yogurt,,,,,,
sausage,bottled water,,,,,,,,,
UHT-milk,soda,whole milk,whole milk,,,,,,,
whole milk,newspapers,,,,,,,,,
waffles,beverages,waffles,curd,,,,,,,
specialty bar,bottled water,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
brown bread,frozen dessert,,,,,,,,,
fruit/vegetable juice,tropical fruit,,,,,,,,,
shopping bags,salty snack,house keeping products,,,,,,,,
cake bar,soda,,,,,,,,,
beef,liquor (appetizer),frozen vegetables,,,,,,,,
citrus fruit,tropical fruit,soda,bottled water,,,,,,,
canned beer,whole milk,,,,,,,,,
frankfurter,sausage,pastry,newspapers,newspapers,honey,,,,,
bottled beer,whole milk,,,,,,,,,
frankfurter,berries,tropical fruit,rolls/buns,,,,,,,
berries,root vegetables,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
frankfurter,hard cheese,butter,,,,,,,,
white bread,citrus fruit,sugar,,,,,,,,
root vegetables,sugar,,,,,,,,,
nut snack,long life bakery product,whole milk,frozen meals,,,,,,,
pasta,soda,,,,,,,,,
coffee,other vegetables,margarine,domestic eggs,,,,,,,
sausage,other vegetables,other vegetables,butter milk,,,,,,,
beverages,salt,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
whipped/sour cream,curd,shopping bags,,,,,,,,
processed cheese,roll products ,,,,,,,,,
yogurt,shopping bags,cake bar,yogurt,,,,,,,
ham,hard cheese,,,,,,,,,
other vegetables,whole milk,artif. sweetener,,,,,,,,
berries,onions,,,,,,,,,
grapes,processed cheese,,,,,,,,,
beef,newspapers,canned vegetables,,,,,,,,
specialty bar,roll products ,Instant food products,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
shopping bags,bottled beer,,,,,,,,,
tropical fruit,frozen vegetables,whole milk,snack products,,,,,,,
abrasive cleaner,citrus fruit,whole milk,long life bakery product,,,,,,,
shopping bags,shopping bags,,,,,,,,,
photo/film,white bread,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
root vegetables,rolls/buns,fruit/vegetable juice,,,,,,,,
yogurt,other vegetables,baking powder,candy,,,,,,,
sausage,whole milk,,,,,,,,,
soda,butter milk,whipped/sour cream,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
frozen meals,mustard,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
whole milk,pip fruit,softener,,,,,,,,
frankfurter,whole milk,,,,,,,,,
sausage,soda,,,,,,,,,
soda,cream cheese ,,,,,,,,,
specialty vegetables,yogurt,,,,,,,,,
whole milk,soda,,,,,,,,,
other vegetables,pastry,,,,,,,,,
beef,root vegetables,,,,,,,,,
soda,soda,,,,,,,,,
white bread,specialty chocolate,,,,,,,,,
dishes,yogurt,,,,,,,,,
whole milk,yogurt,UHT-milk,specialty chocolate,,,,,,,
frozen meals,white bread,cereals,ready soups,,,,,,,
butter milk,berries,citrus fruit,napkins,,,,,,,
whipped/sour cream,flour,,,,,,,,,
whole milk,whole milk,,,,,,,,,
onions,hygiene articles,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
rolls/buns,misc. beverages,soda,,,,,,,,
pet care,coffee,soda,,,,,,,,
frankfurter,canned beer,,,,,,,,,
frankfurter,hard cheese,bottled beer,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
cleaner,chewing gum,,,,,,,,,
sausage,frozen meals,,,,,,,,,
rolls/buns,curd,,,,,,,,,
pork,margarine,,,,,,,,,
margarine,frozen fruits,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
other vegetables,Instant food products,sugar,,,,,,,,
rolls/buns,oil,,,,,,,,,
whole milk,whole milk,domestic eggs,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
butter milk,pickled vegetables,hygiene articles,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
misc. beverages,soda,,,,,,,,,
ham,whole milk,,,,,,,,,
ice cream,other vegetables,,,,,,,,,
pork,berries,,,,,,,,,
soda,whole milk,,,,,,,,,
bottled water,meat spreads,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
margarine,cereals,,,,,,,,,
bottled water,whole milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
frankfurter,ice cream,,,,,,,,,
hamburger meat,butter milk,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
coffee,other vegetables,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
soda,pastry,,,,,,,,,
chicken,cream cheese ,citrus fruit,chicken,pet care,napkins,condensed milk,specialty chocolate,,,
pork,frozen dessert,newspapers,,,,,,,,
soda,waffles,,,,,,,,,
frankfurter,citrus fruit,specialty chocolate,,,,,,,,
shopping bags,whole milk,cling film/bags,bottled beer,newspapers,,,,,,
hamburger meat,dish cleaner,,,,,,,,,
pip fruit,bottled water,salt,,,,,,,,
frankfurter,bottled water,,,,,,,,,
dessert,other vegetables,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
whipped/sour cream,whipped/sour cream,,,,,,,,,
white bread,pip fruit,domestic eggs,,,,,,,,
whole milk,white bread,,,,,,,,,
canned beer,soda,newspapers,,,,,,,,
onions,frozen vegetables,curd,,,,,,,,
citrus fruit,other vegetables,yogurt,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
whole milk,baking powder,,,,,,,,,
bottled water,yogurt,spices,fruit/vegetable juice,,,,,,,
frozen vegetables,pasta,,,,,,,,,
UHT-milk,pastry,,,,,,,,,
sausage,tropical fruit,sausage,frankfurter,cream cheese ,other vegetables,hard cheese,chocolate,flour,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
pork,brown bread,,,,,,,,,
pip fruit,canned beer,,,,,,,,,
other vegetables,berries,,,,,,,,,
bottled water,other vegetables,coffee,soda,,,,,,,
whole milk,root vegetables,detergent,,,,,,,,
butter milk,whole milk,,,,,,,,,
domestic eggs,candy,,,,,,,,,
yogurt,salty snack,,,,,,,,,
tropical fruit,white bread,butter,,,,,,,,
hamburger meat,shopping bags,,,,,,,,,
yogurt,chewing gum,shopping bags,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
citrus fruit,white bread,pastry,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
other vegetables,domestic eggs,bottled beer,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
sweet spreads,white wine,,,,,,,,,
tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
tropical fruit,root vegetables,Instant food products,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
sliced cheese,pasta,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
semi-finished bread,ketchup,,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
beef,white bread,,,,,,,,,
yogurt,cream cheese ,,,,,,,,,
whipped/sour cream,whipped/sour cream,fruit/vegetable juice,,,,,,,,
whipped/sour cream,root vegetables,rolls/buns,packaged fruit/vegetables,,,,,,,
dishes,shopping bags,hard cheese,other vegetables,,,,,,,
frankfurter,ketchup,,,,,,,,,
rolls/buns,flower (seeds),,,,,,,,,
bottled water,shopping bags,dog food,,,,,,,,
chicken,white wine,margarine,,,,,,,,
beef,frozen vegetables,,,,,,,,,
brown bread,rolls/buns,soda,whole milk,,,,,,,
whole milk,rolls/buns,dish cleaner,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
chocolate marshmallow,yogurt,,,,,,,,,
beef,other vegetables,,,,,,,,,
pastry,napkins,pastry,,,,,,,,
packaged fruit/vegetables,butter,,,,,,,,,
fruit/vegetable juice,spices,,,,,,,,,
canned beer,soda,white bread,,,,,,,,
beverages,white wine,frozen potato products,,,,,,,,
chicken,brown bread,soda,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
citrus fruit,bottled water,napkins,,,,,,,,
whole milk,beef,whipped/sour cream,whole milk,curd cheese,,,,,,
rolls/buns,cat food,beverages,,,,,,,,
butter milk,other vegetables,,,,,,,,,
butter,whole milk,,,,,,,,,
berries,domestic eggs,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,detergent,,,,,,,,,
soda,pip fruit,pasta,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
canned beer,flour,newspapers,,,,,,,,
dessert,flower (seeds),,,,,,,,,
rolls/buns,brown bread,canned beer,,,,,,,,
shopping bags,canned beer,,,,,,,,,
dessert,tropical fruit,pip fruit,hard cheese,specialty fat,,,,,,
tropical fruit,whipped/sour cream,whipped/sour cream,,,,,,,,
coffee,whole milk,,,,,,,,,
sausage,other vegetables,shopping bags,napkins,,,,,,,
citrus fruit,mustard,,,,,,,,,
sweet spreads,butter,,,,,,,,,
soda,shopping bags,coffee,,,,,,,,
ice cream,pip fruit,,,,,,,,,
ham,newspapers,,,,,,,,,
sausage,other vegetables,,,,,,,,,
meat,sausage,salty snack,white wine,frozen vegetables,beverages,,,,,
berries,napkins,,,,,,,,,
specialty bar,frozen meals,kitchen towels,whole milk,,,,,,,
white wine,whole milk,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
root vegetables,condensed milk,dessert,,,,,,,,
dessert,napkins,long life bakery product,,,,,,,,
whole milk,canned beer,,,,,,,,,
pork,specialty cheese,,,,,,,,,
sausage,whole milk,semi-finished bread,yogurt,,,,,,,
sausage,fruit/vegetable juice,chewing gum,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
beverages,fruit/vegetable juice,,,,,,,,,
rolls/buns,curd,,,,,,,,,
chicken,waffles,,,,,,,,,
beef,chicken,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
photo/film,soda,,,,,,,,,
citrus fruit,flour,,,,,,,,,
pot plants,dish cleaner,,,,,,,,,
salty snack,waffles,specialty cheese,,,,,,,,
whole milk,male cosmetics,,,,,,,,,
soft cheese,pip fruit,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
soda,frankfurter,cream cheese ,butter,,,,,,,
yogurt,other vegetables,rolls/buns,herbs,,,,,,,
beef,specialty fat,newspapers,,,,,,,,
white bread,whole milk,white bread,whole milk,newspapers,rolls/buns,canned beer,whole milk,,,
whole milk,pastry,,,,,,,,,
tropical fruit,frozen dessert,napkins,,,,,,,,
whipped/sour cream,shopping bags,soda,,,,,,,,
whole milk,whole milk,,,,,,,,,
newspapers,sausage,sugar,,,,,,,,
curd,root vegetables,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
whole milk,ice cream,,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
whole milk,butter,,,,,,,,,
whole milk,yogurt,,,,,,,,,
whole milk,bottled water,,,,,,,,,
oil,canned fish,,,,,,,,,
citrus fruit,sugar,,,,,,,,,
berries,other vegetables,,,,,,,,,
coffee,napkins,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
frozen vegetables,salad dressing,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
specialty chocolate,cat food,,,,,,,,,
popcorn,pork,margarine,beef,butter,,,,,,
misc. beverages,yogurt,oil,,,,,,,,
frankfurter,margarine,,,,,,,,,
hard cheese,waffles,misc. beverages,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
margarine,bottled water,,,,,,,,,
bottled water,hygiene articles,,,,,,,,,
whole milk,flower (seeds),,,,,,,,,
yogurt,whole milk,fruit/vegetable juice,,,,,,,,
white bread,salty snack,,,,,,,,,
tropical fruit,flower soil/fertilizer,flour,specialty bar,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
frankfurter,pork,,,,,,,,,
yogurt,other vegetables,whipped/sour cream,,,,,,,,
whole milk,yogurt,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
tropical fruit,shopping bags,hard cheese,,,,,,,,
coffee,UHT-milk,,,,,,,,,
frankfurter,soda,,,,,,,,,
butter milk,waffles,,,,,,,,,
rolls/buns,hygiene articles,fruit/vegetable juice,,,,,,,,
beverages,sausage,,,,,,,,,
other vegetables,butter,,,,,,,,,
pot plants,rolls/buns,,,,,,,,,
chocolate,whipped/sour cream,bottled beer,,,,,,,,
other vegetables,cooking chocolate,,,,,,,,,
sliced cheese,candy,,,,,,,,,
root vegetables,soda,,,,,,,,,
frankfurter,ham,white wine,detergent,popcorn,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pork,other vegetables,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
other vegetables,yogurt,bottled water,,,,,,,,
bottled beer,fruit/vegetable juice,rolls/buns,,,,,,,,
bottled beer,tropical fruit,sliced cheese,dishes,,,,,,,
sausage,frozen vegetables,,,,,,,,,
canned beer,yogurt,salty snack,,,,,,,,
grapes,bottled beer,,,,,,,,,
fruit/vegetable juice,dessert,,,,,,,,,
butter milk,whole milk,white bread,rolls/buns,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
pastry,napkins,,,,,,,,,
cream cheese ,canned beer,waffles,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
yogurt,butter,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
shopping bags,yogurt,,,,,,,,,
white bread,coffee,,,,,,,,,
whole milk,newspapers,,,,,,,,,
pip fruit,margarine,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
whole milk,coffee,chewing gum,,,,,,,,
canned fish,yogurt,napkins,,,,,,,,
flower (seeds),honey,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
yogurt,whole milk,,,,,,,,,
domestic eggs,canned beer,shopping bags,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
root vegetables,Instant food products,,,,,,,,,
root vegetables,beef,,,,,,,,,
meat,pot plants,canned vegetables,,,,,,,,
detergent,salty snack,,,,,,,,,
berries,semi-finished bread,,,,,,,,,
dessert,house keeping products,,,,,,,,,
beef,pastry,yogurt,chewing gum,,,,,,,
pork,meat,whole milk,salty snack,whole milk,frozen potato products,processed cheese,rolls/buns,,,
whole milk,soda,,,,,,,,,
berries,rolls/buns,,,,,,,,,
bottled water,shopping bags,bottled water,,,,,,,,
sausage,chicken,whipped/sour cream,sparkling wine,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
brown bread,butter milk,,,,,,,,,
pasta,newspapers,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
domestic eggs,vinegar,chocolate,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
tropical fruit,other vegetables,hamburger meat,popcorn,female sanitary products,,,,,,
soda,whole milk,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
tropical fruit,pasta,napkins,,,,,,,,
beef,other vegetables,,,,,,,,,
processed cheese,instant coffee,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
sausage,pork,sugar,,,,,,,,
yogurt,other vegetables,,,,,,,,,
soda,yogurt,,,,,,,,,
cream cheese ,long life bakery product,pastry,,,,,,,,
beef,grapes,,,,,,,,,
cake bar,red/blush wine,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
tropical fruit,bottled water,dessert,,,,,,,,
misc. beverages,coffee,,,,,,,,,
yogurt,margarine,newspapers,,,,,,,,
chicken,bottled beer,soda,domestic eggs,other vegetables,,,,,,
other vegetables,bottled water,mustard,whole milk,root vegetables,pet care,,,,,
brown bread,dishes,,,,,,,,,
pork,cake bar,,,,,,,,,
whole milk,soda,,,,,,,,,
sausage,root vegetables,,,,,,,,,
yogurt,coffee,candy,candles,,,,,,,
pip fruit,white wine,,,,,,,,,
pip fruit,soda,brown bread,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
whole milk,frozen vegetables,bottled beer,specialty cheese,chewing gum,,,,,,
yogurt,chewing gum,whipped/sour cream,shopping bags,,,,,,,
whipped/sour cream,photo/film,,,,,,,,,
bottled water,coffee,,,,,,,,,
rolls/buns,soda,,,,,,,,,
pip fruit,whole milk,soda,,,,,,,,
ham,cream cheese ,,,,,,,,,
soda,herbs,canned beer,soda,seasonal products,dishes,yogurt,mayonnaise,flower (seeds),,
frankfurter,dishes,,,,,,,,,
beef,UHT-milk,misc. beverages,,,,,,,,
pastry,whole milk,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
pastry,liquor,,,,,,,,,
beef,sparkling wine,frozen fish,chewing gum,,,,,,,
whole milk,chewing gum,yogurt,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
pork,pip fruit,,,,,,,,,
fruit/vegetable juice,frozen vegetables,,,,,,,,,
pastry,bottled beer,,,,,,,,,
sausage,citrus fruit,red/blush wine,frozen vegetables,cream,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
sausage,finished products,,,,,,,,,
specialty cheese,brown bread,margarine,,,,,,,,
fruit/vegetable juice,ketchup,,,,,,,,,
whipped/sour cream,beverages,,,,,,,,,
sausage,meat spreads,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sausage,margarine,,,,,,,,,
frankfurter,pip fruit,meat,coffee,other vegetables,shopping bags,brown bread,curd,,,
cream cheese ,canned beer,chewing gum,,,,,,,,
whole milk,whole milk,,,,,,,,,
candles,whole milk,,,,,,,,,
white wine,soft cheese,,,,,,,,,
soda,citrus fruit,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
pork,beverages,brown bread,Instant food products,margarine,,,,,,
pork,yogurt,butter milk,,,,,,,,
whole milk,fish,other vegetables,soda,,,,,,,
pickled vegetables,meat,,,,,,,,,
sausage,hygiene articles,ice cream,,,,,,,,
chicken,brown bread,,,,,,,,,
butter milk,candles,pot plants,,,,,,,,
whole milk,citrus fruit,pip fruit,butter,grapes,ice cream,margarine,whipped/sour cream,,,
bottled water,tropical fruit,,,,,,,,,
yogurt,specialty cheese,,,,,,,,,
soda,berries,root vegetables,bottled beer,,,,,,,
beef,citrus fruit,pastry,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
soda,dishes,,,,,,,,,
root vegetables,butter,,,,,,,,,
frozen vegetables,onions,,,,,,,,,
other vegetables,bottled water,shopping bags,,,,,,,,
pastry,detergent,,,,,,,,,
bottled beer,pastry,,,,,,,,,
specialty bar,bottled water,dental care,,,,,,,,
beef,beef,margarine,,,,,,,,
whole milk,shopping bags,,,,,,,,,
liquor (appetizer),candy,misc. beverages,,,,,,,,
sausage,tropical fruit,,,,,,,,,
other vegetables,curd,,,,,,,,,
citrus fruit,tropical fruit,UHT-milk,cat food,chocolate,root vegetables,rolls/buns,sweet spreads,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
root vegetables,packaged fruit/vegetables,,,,,,,,,
chicken,bottled beer,,,,,,,,,
waffles,whole milk,,,,,,,,,
liver loaf,pasta,grapes,other vegetables,,,,,,,
soda,curd,rolls/buns,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
rolls/buns,sliced cheese,,,,,,,,,
tropical fruit,dessert,domestic eggs,,,,,,,,
fruit/vegetable juice,berries,,,,,,,,,
